School,Year,Games,Wins,Loses,W_L_Perc,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Team_Points,Opp_Points,Min_Played,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Pec,eFG_Pec,TOV_Pec,ORB_Pec,FT/FGA
SanJoseState,2024,32,9,23,0.281,-3.35,3.74,2,16,6,9,1,12,2228,2403,1290,832,1856,0.448,267,778,0.343,297,423,0.702,252,986,433,165,106,336,547,66.4,104,0.228,0.419,0.542,46.2,52,7.7,9.1,0.52,14,23.1,0.16
SantaClara,2024,33,20,13,0.606,5.62,1.96,10,6,11,4,5,6,2538,2384,1325,912,1984,0.46,271,766,0.354,443,620,0.715,397,1296,497,158,89,422,584,69.8,109.8,0.313,0.386,0.557,54.9,54.5,6.8,7.1,0.528,15.6,34.6,0.223
Seattle,2024,33,19,14,0.576,3.36,-1.33,11,9,14,4,4,9,2428,2223,1350,853,1915,0.445,252,731,0.345,470,643,0.731,329,1212,438,185,99,421,627,68.6,104.9,0.336,0.382,0.547,52.6,51.3,8,7.9,0.511,15.9,29.4,0.245
SetonHall,2024,32,20,12,0.625,11.36,8.74,13,7,14,3,5,7,2329,2245,1295,837,1869,0.448,186,569,0.327,469,607,0.773,395,1192,402,238,147,408,497,67.1,107.3,0.325,0.304,0.54,53.5,48,11,13.6,0.498,15.9,35.9,0.251
Siena,2024,32,4,28,0.125,-18.93,-4.93,3,17,2,12,2,13,1934,2382,1280,702,1758,0.399,169,603,0.28,361,541,0.667,375,1132,342,164,130,505,491,67.1,90,0.308,0.343,0.48,50.7,48.7,7.6,10.3,0.447,20,33.2,0.205
SouthAlabama,2024,32,16,16,0.5,-5.64,-3.09,8,10,11,6,5,9,2367,2421,1300,835,1886,0.443,239,692,0.345,458,611,0.75,254,1057,341,216,88,362,532,70.2,103.8,0.324,0.367,0.544,46.1,40.8,9.5,7,0.506,14.3,22.6,0.243
SouthCarolina,2024,33,26,7,0.788,11.55,6.49,13,5,14,3,8,3,2377,2210,1330,840,1914,0.439,263,785,0.335,434,608,0.714,379,1184,507,159,105,333,528,64.7,110.4,0.318,0.41,0.54,52.3,60.4,7.4,8.2,0.508,13.1,33.1,0.227
SouthCarolinaState,2024,32,14,18,0.438,-11.74,-6.07,9,5,9,4,5,13,2245,2390,1290,784,1914,0.41,200,620,0.323,477,692,0.689,477,1203,435,267,111,487,666,70.3,99,0.362,0.324,0.501,52.8,55.5,11.8,10.3,0.462,17.8,38.7,0.249
SouthCarolinaUpstate,2024,30,10,20,0.333,-9.11,-2.77,5,11,6,7,4,12,2130,2188,1215,780,1753,0.445,230,691,0.333,340,530,0.642,262,950,375,217,96,346,589,68.4,102.4,0.302,0.394,0.531,45.5,48.1,10.4,9.1,0.511,14.7,24.6,0.194
SouthDakota,2024,32,12,20,0.375,-12.22,-5.08,5,11,9,6,2,12,2434,2535,1300,875,1916,0.457,251,669,0.375,433,583,0.743,334,1198,391,115,56,411,511,69.8,107.3,0.304,0.349,0.555,52.1,44.7,5.1,4.4,0.522,15.8,30.2,0.226
SouthDakotaState,2024,34,22,12,0.647,0.72,-3.16,12,4,11,3,6,5,2610,2408,1370,954,1976,0.483,290,799,0.363,412,582,0.708,282,1212,435,209,110,380,488,68.7,111,0.295,0.404,0.579,51.4,45.6,8.9,10.3,0.556,14.4,25.1,0.209
SouthFlorida,2024,31,24,7,0.774,7.39,0.62,16,2,15,2,7,4,2351,2141,1240,788,1791,0.44,278,760,0.366,497,676,0.735,309,1117,467,219,110,330,535,69,109.9,0.377,0.424,0.557,49.4,59.3,10.2,9.8,0.518,13.5,28.2,0.277
SoutheastMissouriState,2024,31,9,22,0.29,-18,-6.3,4,14,8,7,1,14,2078,2278,1245,764,1848,0.413,192,631,0.304,358,512,0.699,279,984,383,178,78,371,606,70.4,94.8,0.277,0.341,0.497,46.8,50.1,8.1,6.4,0.465,15.1,24.8,0.194
SoutheasternLouisiana,2024,32,15,17,0.469,-10.87,-5.7,10,8,9,4,6,10,2209,2271,1290,764,1769,0.432,235,677,0.347,446,613,0.728,343,1120,463,222,73,442,523,66.9,102.3,0.347,0.383,0.536,51,60.6,10.3,7.1,0.498,17.7,31.8,0.252
Southern,2024,32,18,14,0.563,-8.66,-6.01,12,6,11,2,7,11,2275,2198,1290,807,1829,0.441,221,684,0.323,440,653,0.674,312,1020,440,291,105,456,631,70.7,99.8,0.357,0.374,0.532,48.9,54.5,12.8,9.8,0.502,17.6,28.8,0.241
SouthernCalifornia,2024,33,15,18,0.455,9.59,9.77,8,12,9,6,3,9,2446,2452,1340,872,1932,0.451,252,709,0.355,450,649,0.693,331,1123,515,247,172,418,560,69.7,104.8,0.336,0.367,0.546,48.6,59.1,10.6,14.2,0.517,15.7,29,0.233
SouthernIllinois,2024,32,19,13,0.594,4.25,0.67,11,9,13,5,5,6,2325,2183,1300,791,1746,0.453,264,761,0.347,479,629,0.762,270,1055,456,175,98,356,579,65.4,109.3,0.36,0.436,0.569,50.8,57.6,8.2,8.1,0.529,14.8,26.3,0.274
SIUEdwardsville,2024,33,17,16,0.515,-8.81,-7.27,9,9,12,2,2,13,2360,2314,1320,832,1965,0.423,239,720,0.332,457,631,0.724,375,1175,374,226,137,352,550,67.7,105.6,0.321,0.366,0.521,50.5,45,10.1,12,0.484,13.5,31.1,0.233
SouthernIndiana,2024,32,8,24,0.25,-13.44,-5.4,5,13,5,10,3,13,2195,2335,1285,737,1811,0.407,215,664,0.324,506,679,0.745,319,1139,362,204,94,423,672,69.7,98.1,0.375,0.367,0.514,49.7,49.1,9.1,8.4,0.466,16.5,27.6,0.279
SouthernMethodist,2024,32,20,12,0.625,10.69,2.5,11,7,14,3,5,7,2443,2170,1285,903,2024,0.446,241,713,0.338,396,579,0.684,468,1283,506,271,157,362,537,68.5,111.1,0.286,0.352,0.531,53.6,56,12.3,13.2,0.506,13.6,38.7,0.196
SouthernMississippi,2024,32,16,16,0.5,-5.64,-2.64,9,9,11,3,5,9,2236,2273,1280,775,1826,0.424,201,614,0.327,485,693,0.7,343,1177,376,229,154,411,550,69.5,100.6,0.38,0.336,0.519,50.1,48.5,10.3,12.6,0.479,16,29.4,0.266
SouthernUtah,2024,31,10,21,0.323,-5.71,-1.16,5,15,6,8,3,13,2326,2406,1245,820,1861,0.441,195,649,0.3,491,674,0.728,322,1049,375,202,92,373,548,71.4,104.6,0.362,0.349,0.533,47.5,45.7,9.1,6.7,0.493,14.6,28.5,0.264
St.Bonaventure,2024,33,20,13,0.606,7.04,2.22,9,9,11,4,5,6,2424,2265,1335,853,1872,0.456,251,687,0.365,467,603,0.774,320,1087,412,218,128,358,553,66,110,0.322,0.367,0.562,50.6,48.3,9.9,12,0.523,14.2,29.7,0.249
St.John's(NY),2024,33,20,13,0.606,16.29,9.38,11,9,13,5,5,6,2602,2374,1320,970,2139,0.453,237,696,0.341,425,584,0.728,476,1279,518,232,180,360,593,69.6,113.3,0.273,0.325,0.538,53.6,53.4,10.1,14.7,0.509,13,38.6,0.199
St.Thomas,2024,33,20,13,0.606,-0.62,-5.42,9,7,12,2,6,9,2402,2140,1325,859,1824,0.471,299,829,0.361,385,528,0.729,255,1027,451,204,71,303,520,63.9,113.4,0.289,0.454,0.579,50,52.5,9.6,6.7,0.553,12.7,24.9,0.211
Stanford,2024,32,14,18,0.438,7.65,7.77,8,12,10,6,3,8,2443,2447,1300,882,1886,0.468,286,774,0.37,393,540,0.728,248,1097,515,176,99,410,490,70.9,106.1,0.286,0.41,0.57,49,58.4,7.6,7.9,0.543,16.1,23.2,0.208
StephenF.Austin,2024,33,18,15,0.545,-0.93,-1.74,10,10,10,5,5,8,2463,2353,1345,849,1890,0.449,203,607,0.334,562,796,0.706,393,1184,422,295,93,530,697,71.5,102.4,0.421,0.321,0.543,52.2,49.7,12.3,8.3,0.503,18.9,34.4,0.297
Stetson,2024,34,22,12,0.647,-4.51,-3.86,11,5,14,2,6,10,2635,2475,1365,933,1998,0.467,310,837,0.37,459,599,0.766,329,1186,459,181,104,355,504,67.4,114.5,0.3,0.419,0.577,50.4,49.2,7.9,8,0.545,13.5,29.3,0.23
Stonehill,2024,31,4,27,0.129,-20.01,-6.01,2,14,4,8,0,19,1967,2360,1245,714,1788,0.399,253,834,0.303,286,415,0.689,257,1020,366,198,77,421,477,69.2,91.4,0.232,0.466,0.495,45.7,51.3,9.2,7.6,0.47,17.5,22.9,0.16
